,COD_DANE,NOM_DPTO,NOM_MPIO,cluster_total,cluster_n_tret,cluster_n_demic,cluster_n_spp,LATITUDE,LONGITUDE
0,5001.0,ANTIOQUIA,MEDELLIN,7,0,3,6,6.250129488,-75.57863094
1,5002.0,ANTIOQUIA,ABEJORRAL,0,0,3,7,5.7906,-75.4269
2,5004.0,ANTIOQUIA,ABRIAQUI,7,0,3,6,6.631806453,-76.06470346
3,5021.0,ANTIOQUIA,ALEJANDRIA,3,1,3,2,6.376061445,-75.14134618
4,5030.0,ANTIOQUIA,AMAGA,6,0,2,5,6.038816776,-75.70204111
5,5031.0,ANTIOQUIA,AMALFI,1,0,3,1,6.9092,-75.0767
6,5034.0,ANTIOQUIA,ANDES,7,2,3,6,5.6556,-75.8803
7,5036.0,ANTIOQUIA,ANGELOPOLIS,6,1,2,5,6.109719064,-75.71138922
8,5038.0,ANTIOQUIA,ANGOSTURA,3,1,3,2,6.8851,-75.3347
9,5040.0,ANTIOQUIA,ANORI,1,0,3,1,7.074702853,-75.14835512
10,5042.0,ANTIOQUIA,SANTAFE DE ANTIOQUIA,4,0,2,0,6.556566638,-75.82704303
11,5044.0,ANTIOQUIA,ANZA,6,0,1,5,6.302641172,-75.85444229
12,5045.0,ANTIOQUIA,APARTADO,5,1,1,7,7.883319706,-76.62531095
13,5051.0,ANTIOQUIA,ARBOLETES,7,3,1,6,8.8511,-76.4272
14,5055.0,ANTIOQUIA,ARGELIA,3,0,3,1,5.7319,-75.1419
15,5059.0,ANTIOQUIA,ARMENIA,6,1,2,5,6.1564,-75.7858
16,5079.0,ANTIOQUIA,BARBOSA,0,0,3,2,6.4375,-75.3306
17,5086.0,ANTIOQUIA,BELMIRA,7,3,2,6,6.605,-75.6658
18,5088.0,ANTIOQUIA,BELLO,7,0,3,6,6.3319,-75.5581
19,5091.0,ANTIOQUIA,BETANIA,4,0,2,0,5.7347,-75.9792
20,5093.0,ANTIOQUIA,BETULIA,4,0,2,0,6.1122,-75.9839
21,5101.0,ANTIOQUIA,CIUDAD BOLIVAR,4,0,2,0,5.850273233,-76.02150921
22,5107.0,ANTIOQUIA,BRICEÑO,0,1,3,2,7.1106,-75.5511
23,5113.0,ANTIOQUIA,BURITICA,4,1,2,0,6.719729847,-75.90749551
24,5120.0,ANTIOQUIA,CACERES,0,1,2,2,7.578315451,-75.35235749
25,5125.0,ANTIOQUIA,CAICEDO,4,0,2,0,6.4069,-75.9853
26,5129.0,ANTIOQUIA,CALDAS,6,0,3,5,6.0886,-75.6361
27,5134.0,ANTIOQUIA,CAMPAMENTO,3,1,3,1,6.9792,-75.2958
28,5138.0,ANTIOQUIA,CAÑASGORDAS,7,1,2,6,6.7497,-76.0258
29,5142.0,ANTIOQUIA,CARACOLI,5,3,2,7,6.409829273,-74.75742072
30,5145.0,ANTIOQUIA,CARAMANTA,6,0,2,5,5.5467,-75.6442
31,5147.0,ANTIOQUIA,CAREPA,0,1,1,7,7.7581,-76.6553
32,5148.0,ANTIOQUIA,CARMEN DE VIBORAL,0,1,3,2,6.0819,-75.3342
33,5150.0,ANTIOQUIA,CAROLINA,0,1,2,2,6.7244,-75.2817
34,5154.0,ANTIOQUIA,CAUCASIA,0,1,1,7,7.9865,-75.1935
35,5172.0,ANTIOQUIA,CHIGORODO,0,1,1,7,7.666291026,-76.68125617
36,5190.0,ANTIOQUIA,CISNEROS,0,3,2,2,6.5383,-75.0886
37,5197.0,ANTIOQUIA,COCORNA,0,1,3,2,6.058306335,-75.18548101
38,5206.0,ANTIOQUIA,CONCEPCION,0,1,3,2,6.394348113,-75.2575872
39,5209.0,ANTIOQUIA,CONCORDIA,6,0,2,5,6.0456,-75.9075
40,5212.0,ANTIOQUIA,COPACABANA,7,0,3,6,6.3486,-75.5103
41,5234.0,ANTIOQUIA,DABEIBA,1,0,2,1,7.0014,-76.2611
42,5237.0,ANTIOQUIA,DON MATIAS,0,0,3,2,6.485607566,-75.39264627
